Designator,Mid X,Mid Y,Rotation,Layer
C1,101.5,-112.0,0.0,top
D1,143.505,-126.5,180.0,top
D2,136.005,-126.5,180.0,top
D3,128.505,-126.5,180.0,top
D4,121.005,-126.5,180.0,top
D5,113.505,-126.5,180.0,top
D6,106.005,-126.5,180.0,top
D7,98.505,-126.5,180.0,top
D8,91.005,-126.5,180.0,top
J1,80.03,-106.53,0.0,top
R1,143.5,-137.5,270.0,top
R2,136.0,-137.5,270.0,top
R3,128.5,-137.58,270.0,top
R4,121.0,-137.58,270.0,top
R5,113.5,-137.58,270.0,top
R6,106.0,-137.58,270.0,top
R7,98.5,-137.5,270.0,top
R8,91.0,-137.58,270.0,top
U1,108.015,-102.99,90.0,top
U2,130.015,-102.99,90.0,top
U3,120.505,-115.99,90.0,top
