Designator,Mid X,Mid Y,Rotation,Layer
C1,115.5,-117.5,0.0,top
D1,158.995,-131.5,0.0,top
D2,151.495,-131.5,0.0,top
D3,143.995,-131.5,0.0,top
D4,136.495,-131.5,0.0,top
D5,128.995,-131.5,0.0,top
D6,121.495,-131.5,0.0,top
D7,113.995,-131.5,0.0,top
D8,106.495,-131.5,0.0,top
J1,94.53,-111.53,0.0,top
R1,159.0,-142.5,270.0,top
R2,151.5,-142.5,270.0,top
R3,144.0,-142.5,270.0,top
R4,136.65,-142.5,270.0,top
R5,129.0,-142.5,270.0,top
R6,121.5,-142.5,270.0,top
R7,114.0,-142.5,270.0,top
R8,106.5,-142.5,270.0,top
U1,123.015,-109.99,90.0,top
U2,144.015,-109.99,90.0,top
U3,132.505,-121.49,90.0,top
