Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0,-125.5,180.0,top
D1,161.495,-140.0,0.0,top
D2,153.995,-140.0,0.0,top
D3,146.495,-140.0,0.0,top
D4,138.995,-140.0,0.0,top
D5,131.495,-140.0,0.0,top
D6,123.995,-140.0,0.0,top
D7,116.495,-140.0,0.0,top
D8,108.995,-140.0,0.0,top
J2,172.73,-119.71,180.0,top
R1,161.5,-151.0,270.0,top
R2,154.0,-151.0,270.0,top
R3,146.5,-151.0,270.0,top
R4,139.0,-151.0,270.0,top
R5,131.5,-151.0,270.0,top
R6,124.0,-151.0,270.0,top
R7,116.5,-151.0,270.0,top
R8,109.0,-151.0,270.0,top
U1,124.15,-117.19,90.0,top
U2,145.69,-117.19,90.0,top
U3,135.005,-129.99,90.0,top
